category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Component,nema-17-stepper-motor,Nema 17 - Stepper Motor,1,"SM42HT47-1684 1,8º step, 1,6 A, 60mm",https://s.click.aliexpress.com/e/_c4OFDxTd,https://geni.us/QiHJ,,,https://s.click.aliexpress.com/e/_c4OFDxTd | https://geni.us/QiHJ
Component,arduino-mega,Arduino Mega,1,ARDUINO MEGA 2560,https://s.click.aliexpress.com/e/_c3HDcXz1,https://geni.us/nOmk0je,,,https://s.click.aliexpress.com/e/_c3HDcXz1 | https://geni.us/nOmk0je
Component,stepper-driver,Stepper Driver,6,Stepper Driver tb6560,https://s.click.aliexpress.com/e/_c4rcHLfl,https://geni.us/34NC66,,,https://s.click.aliexpress.com/e/_c4rcHLfl | https://geni.us/34NC66
Component,power-supply,Power Supply,1,Power Supply 24V 320W,https://s.click.aliexpress.com/e/_c3cuxp5p,https://geni.us/s3LtaC,,,https://s.click.aliexpress.com/e/_c3cuxp5p | https://geni.us/s3LtaC
Component,ramps-board,RAMPS Board,1,RAMPS V1.4,https://s.click.aliexpress.com/e/_c3mpjdAb,https://geni.us/MPhB3,,,https://s.click.aliexpress.com/e/_c3mpjdAb | https://geni.us/MPhB3
Component,voltage-converter,Voltage Converter,1,Power converter 24V a 12V,https://s.click.aliexpress.com/e/_c4tflrHt,https://geni.us/HMnH3lo,,,https://s.click.aliexpress.com/e/_c4tflrHt | https://geni.us/HMnH3lo
Component,servo-motor,Servo Motor,1,Servo Motor 180° 55G TORQUE=13KG/CM,https://s.click.aliexpress.com/e/_c34OKrYr,https://geni.us/L1E7S,,,https://s.click.aliexpress.com/e/_c34OKrYr | https://geni.us/L1E7S
Component,nema-17-geared-stepper,Nema 17 - Geared Stepper,1,"Gear Ratio 5:1 Planetary Gearbox ( step 0,35º , 2Nm, 1,68A)",https://s.click.aliexpress.com/e/_c3aADJEj,https://geni.us/3lZAcBw,,,https://s.click.aliexpress.com/e/_c3aADJEj | https://geni.us/3lZAcBw
Component,nema-23-stepper-motor,Nema 23 - Stepper Motor,2,"112mm Single shaft Ø8mm, step 1,8º, 3A, 3Nm hoding torque",https://s.click.aliexpress.com/e/_c3H33OaB,https://geni.us/EcH07mb,,,https://s.click.aliexpress.com/e/_c3H33OaB | https://geni.us/EcH07mb
Component,nema-14-stepper-motor,Nema 14 - Stepper Motor,1,"SM35HT36-1004A, 1,8º step, 1A, 1400g·cm",https://s.click.aliexpress.com/e/_c3e8UtXz,https://geni.us/xdpBAp,,,https://s.click.aliexpress.com/e/_c3e8UtXz | https://geni.us/xdpBAp
